tf,n_target,n_overlap,enrich_p,enrich_FDR,rho,FDR,max_abs_rho,validated_in_bulk
NR1D1,430,12,0.000445444418377961,0.00538480277912599,0.093899353461519,0.000797850904316971,0.231126432901391,FALSE
MXI1,73,5,0.000459830255296053,0.00548922367259664,-0.148549709292049,7.21261817169211e-08,0.240730472977812,FALSE
ZBTB2,314,10,0.000483948275365102,0.00570580991325521,0.181364611133648,4.24431718821136e-11,0.2993487702099,FALSE
ZNF83,211,8,0.000575009933990585,0.00669676203610986,0.185398003337784,1.53812434719886e-11,0.27536732116718,FALSE
ZNF331,508,13,0.000586911467968514,0.00675301749289074,0.159844487857866,6.21694125470731e-09,0.234441611006057,FALSE
MEOX2,1013,20,0.000639187836554912,0.00726695695130882,0.114147933679772,4.0726843373466e-05,0.268542971647991,FALSE
BCL6,45,4,0.000648493266377987,0.00728601258107033,-0.165032153884618,1.92276807441684e-09,0.202477221493542,TRUE
ZNF521,656,15,0.000724630812043118,0.00804677238954858,0.0884775604637089,0.00161545022946436,0.273691484213748,FALSE
MYNN,457,12,0.00076026422104562,0.00834542909308697,0.187360448866942,9.51049910217746e-12,0.351125536252396,FALSE
ATF3,48,4,0.000829705113198398,0.00900418617164171,-0.140294359530914,3.62249491332908e-07,0.233344470339865,FALSE
HAND2,399,11,0.00084690634668672,0.00908759057399795,0.136213739929926,8.13015439170585e-07,0.24328793569066,FALSE
TSC22D1,226,8,0.000899165641084508,0.00954114652484116,-0.182180367870332,3.50082366547244e-11,0.282860333444175,FALSE
LBX1,404,11,0.000936793065130064,0.00980772942071788,0.141254948006403,3.02391958538889e-07,0.211182505954672,FALSE
ETV5,893,18,0.000944828383985387,0.00980772942071788,0.152064407301466,3.43326433570032e-08,0.303547721082514,FALSE
GTF2B,474,12,0.001041060406664,0.0106904590146679,0.192562612311763,2.64381576003451e-12,0.273588376093823,FALSE
ZNF92,413,11,0.00111848508491352,0.011282566846519,0.177472149343478,1.06863311972081e-10,0.29317363880515,TRUE
JUNB,52,4,0.00112327980962153,0.011282566846519,0.188201809531661,7.91189958939221e-12,0.249258818862262,FALSE
BCL6B,686,15,0.0011341637877129,0.011282566846519,0.152933777579314,2.85937901076582e-08,0.230611970118517,FALSE
HIVEP3,184,7,0.00123912868949524,0.0120719314177424,0.225448576824899,1.58881041390702e-16,0.304224699742285,FALSE
NFIX,992,19,0.00124380879858448,0.0120719314177424,0.167819808751925,9.96515148194484e-10,0.360161796303671,FALSE
NR4A3,135,6,0.00125143582236283,0.0120719314177424,0.144312906125717,1.71542817499982e-07,0.185725151038142,FALSE
ZNF778,420,11,0.0012791009579689,0.012215414148603,0.142994096104147,2.1619843538761e-07,0.248216725297626,FALSE
FOXF1,187,7,0.00136004626045513,0.0128598433538084,0.180672434598531,4.97270311960493e-11,0.263406192580946,FALSE
ZNF853,491,12,0.00140332515884877,0.0131389757519664,0.163973070805423,2.44655591680076e-09,0.366352960251832,TRUE
ZNF589,307,9,0.00163528336284022,0.0151620933156545,0.19726958842888,7.68650331139785e-13,0.308521297429931,FALSE
ZNF267,653,14,0.00197727215132627,0.018156681774198,0.146881418116459,1.0287832188497e-07,0.203370501156339,FALSE
ZNF165,102,5,0.00207776628708902,0.0188977790873335,0.233787468748999,1.67670120961926e-17,0.2770715325395,FALSE
ARID5A,886,17,0.00219346966614609,0.0196008404553038,-0.179409533015091,6.97942504389133e-11,0.265343099880703,FALSE
KLF12,1043,19,0.00219611510860472,0.0196008404553038,-0.154591322306358,2.05175765892203e-08,0.243154320474086,FALSE
ZBTB7C,737,15,0.00227472761124713,0.0201144895253797,0.174506042496829,2.11753484747122e-10,0.246583435472445,FALSE
NKX6-2,455,11,0.00239261161445799,0.0209003498907667,-0.12713510775275,4.36754742307443e-06,0.20022039642285,FALSE
RXRG,1052,19,0.00241596306481525,0.0209003498907667,0.0542840269674122,0.0563919499678066,0.207308592333553,FALSE
SNAI2,64,4,0.00242925532761791,0.0209003498907667,-0.285965896097263,2.63537958771289e-26,0.370902950431758,FALSE
MEOX1,599,13,0.0025586225758629,0.0218168264281167,0.139921201370965,3.86611028756379e-07,0.164714138040165,FALSE
ZNF644,331,9,0.00271519372807684,0.0229469912417113,0.162086736721124,3.75089198633318e-09,0.217780624844491,FALSE
HOXD11,397,10,0.00278897733044701,0.02336380132085,0.147602977246167,8.86235232093979e-08,0.156863195100285,FALSE
PKNOX2,610,13,0.00298840821052049,0.0248167812264962,0.090344209871454,0.00126895465290029,0.216464277624371,TRUE
ATF6,10,2,0.0032942556658503,0.0271208117317848,0.094389681938407,0.000753189084715733,0.17437108434148,TRUE
FEZF1,411,10,0.00356498633363379,0.0290988200736775,0.147752422519216,8.60778067130596e-08,0.19092235762355,FALSE
ZNF394,701,14,0.00373672272941731,0.030186255908052,0.14636937516622,1.1333293701198e-07,0.213728362664422,FALSE
KLF10,117,5,0.00376142874665779,0.030186255908052,-0.120169826407057,1.50820466041117e-05,0.154443273605751,FALSE
TERF2,417,10,0.00394606360754697,0.0314040895433947,0.172176041521691,3.69795333831047e-10,0.245943226449013,FALSE
MBD3,419,10,0.00408002134569805,0.0322018213648069,0.176889348389057,1.21597638801312e-10,0.334426960139271,FALSE
ADNP,353,9,0.00414162549162308,0.0324201011844265,0.176950637964898,1.20768070434526e-10,0.273214957497338,FALSE
GRHL2,75,4,0.00431250942926318,0.0334833049182629,0.0525299818229899,0.0652857669186721,0.262307982095276,FALSE
SOX17,1030,18,0.00440260758872734,0.0339071794131823,0.0996062161862914,0.000372847500784884,0.265922294710836,FALSE
TBX2,951,17,0.00448551554569107,0.0342693387690798,0.0878089699299854,0.00175843277901423,0.255034483327046,FALSE
RFX8,175,6,0.00457117475242058,0.0346466022901719,0.0438105287178701,0.127670148104734,0.222051321205045,FALSE
SOX4,959,17,0.00487012615316597,0.0366218147738071,0.185895556783393,1.37045860703508e-11,0.25771374631673,FALSE
