tf,rho,p,fdr
ZNF487,-0.0827140755045258,0.0015372791640535,0.00561934777999727
MESP1,-0.0827131785194752,0.00153746141183492,0.00561934777999727
ZNF132,-0.0826554103057982,0.00154924060350322,0.00564436703951492
ZNF45,-0.0820305943735709,0.00168205630610799,0.0061088013148811
ZNF518B,0.0816382043239636,0.00177073328332967,0.00641050277256058
ZNF461,-0.0815313805762981,0.00179560731374957,0.00648004658337383
BBX,0.0814549752820416,0.00181359473077556,0.00652437852832466
THAP4,-0.0813754231575918,0.00183249863728554,0.00657171925095504
AIRE,0.0811829477517734,0.00187898701803937,0.00671737858949074
CEBPA,0.0811360761843354,0.00189047052533668,0.00673672392086687
PBX3,0.08111288639736,0.00189617578891533,0.00673672392086687
MLX,-0.0810727270192719,0.00190609337423493,0.00675099325116025
ZNF16,-0.0809632867264149,0.00193336231940019,0.00682643979442537
ZFP91,0.0808814665953179,0.00195398248628424,0.00687801835172051
MYBL1,0.0808554826530973,0.00196057299132976,0.00688004755239648
ZKSCAN3,-0.0808099393289901,0.00197217369100819,0.00689959236242622
ZBTB5,0.0807603911013884,0.00198486597720618,0.00692282523757279
BNC1,0.0806148948075657,0.00202257046852213,0.00703288941030186
ZNF195,-0.0805649660750219,0.00203565976332791,0.00705695384620342
NR2E3,-0.0802938050506449,0.00210811305131576,0.00728604631632999
KLF11,0.0802544999241148,0.00211880911752965,0.00730095671823469
ZNF778,0.0801100757830365,0.00215853947420902,0.00741552299848383
NFATC4,0.0800492172580913,0.00217548476442786,0.00745136098953735
ZNF284,-0.0800076578427316,0.00218712636521279,0.00746887331881623
ZNF83,0.0791116277667886,0.00245241156360125,0.00834987746654713
ZNF493,-0.0789869032927827,0.0024915853127217,0.00845808189244401
ZNF281,0.0788958409752354,0.0025205466580906,0.00853108099661436
LHX1,-0.0785568690622724,0.00263107706558119,0.00886096801571677
HNF4G,0.0785495717344027,0.00263350448019554,0.00886096801571677
MXD3,-0.0784366552415703,0.00267132708520126,0.00896187151164294
ZNF525,-0.0783872653150449,0.00268802614999759,0.00899152606899778
