tf,rho,p,fdr
HOXB2,0.0990880320627132,0.000146197238691617,0.000804084812803893
ZBED6,0.0987005612962295,0.000155249192288802,0.000849785052528179
ZNF780A,-0.0985479257713276,0.000158957629877124,0.000865940612283
BACH1,0.098441234245689,0.000161599087516621,0.000876158085872108
ZFP69,-0.0982774667516084,0.000165734025963676,0.000894338328785121
VAX1,0.0981171391023468,0.000169878275300943,0.000910415871100455
ZNF785,-0.0981008372318113,0.000170305066796763,0.000910415871100455
ZNF44,-0.0978928321057025,0.000175839943712827,0.000935632072592903
FOXQ1,0.0976389812929983,0.000182823725530482,0.000968288620402183
ETV3,0.0974255817001531,0.000188895330375122,0.000995835290088199
TFAP2A,0.0972680954740071,0.00019349696779255,0.00101208682202643
CSRNP1,0.0972463149113591,0.000194141602102543,0.00101208682202643
RARB,0.0972297882969585,0.000194632081158929,0.00101208682202643
SOX8,0.0970638131958057,0.000199622833496657,0.00103334172633563
FOXP1,0.0969523181989785,0.000203042582018161,0.00104630952175124
ZNF414,-0.0968749797367365,0.000205446900176363,0.00105395181077022
ZBTB7C,0.096614606969827,0.000213739262668445,0.00109159694862813
MAX,0.0965358550694567,0.00021630855265836,0.00109980881884962
NFATC1,0.0965063481230391,0.000217278659194976,0.00109985303592501
ASCL1,0.0964602959557263,0.000218800885033162,0.00110267935012307
PLAGL1,0.0963410988985773,0.000222787448155054,0.00111784579249729
TEAD1,0.0962849035984432,0.000224690442747322,0.00112247103276391
FOSB,0.0962453010721137,0.000226040685022354,0.00112430671158945
ZNF500,-0.0962149012761173,0.000227082319328629,0.00112459815286559
ZSCAN5A,-0.0959982146865314,0.000234638385713127,0.00115700997093025
PLAGL2,0.095874295615385,0.000239064845342006,0.00117377760974787
ADNP2,0.0956012054090802,0.000249097563242725,0.00121781030918665
MXD4,0.0955265232500642,0.000251909139143161,0.00122631512842458
ZNF33B,-0.0953096551115908,0.000260243072171681,0.0012615172651034
ZNF311,-0.095090327506364,0.00026893365436357,0.00129814388435411
GATAD2A,0.095015992154878,0.000271940244715981,0.00130714134434909
ZNF184,-0.0947827839105655,0.000281578166272691,0.0013478051138743
ZNF665,-0.0944983983665053,0.000293763789540513,0.00140027406347645
ZNF524,-0.0944008952870489,0.000298054067167911,0.00141482926489664
ZNF596,-0.0943072119825708,0.000302231432245141,0.00142873040697703
IKZF4,0.0942652944892957,0.000304118226339138,0.00143173354292994
TBP,0.0935880455692604,0.000336171430508255,0.00157614801844854
CREB3L4,-0.0933665720542892,0.00034732075796195,0.00162177529432029
ZNF329,-0.0933126764971947,0.000350085736382795,0.00162804098545495
ZNF667,0.0929273912137746,0.00037045904293087,0.00171581030410087
ZNF213,-0.0928952638570111,0.000372206974887198,0.00171695475512482
OVOL1,0.0924122677728748,0.000399430801524378,0.00183513589134092
ZNF212,-0.0922632417771429,0.000408198704838628,0.00186791727334156
ZNF396,-0.0921400126565344,0.000415584163710373,0.0018941365867915
ZNF425,-0.0921125798953311,0.000417245161932209,0.00189416057639066
ZC3H8,0.0919810883488712,0.000425293050397227,0.00192306422788311
ZNF267,0.091769205696016,0.000438566515002553,0.00197527595733433
PPARD,0.0915788115692982,0.000450822373116404,0.00201796021780242
ZFP90,-0.0915673307609877,0.000451571517270472,0.00201796021780242
NR4A3,0.091485913352417,0.000456917545867839,0.00203390534036112
SPI1,0.0911563561372117,0.00047916537992366,0.00212467129702584
ELF1,0.0906931992743067,0.000512142199325782,0.00226212616227295
TBPL1,-0.0903390535921436,0.000538770149570692,0.00237058865811105
OSR1,0.0901879304061053,0.000550520621156093,0.00241300992568035
SP110,-0.0900107220363642,0.000564602969352189,0.00246528930129353
ZFP3,-0.0899623522625746,0.00056850462198149,0.00247288702489287
ZNF439,-0.0897481610633221,0.000586085270427326,0.00253863504248768
