tf,EC,FC,HomC,HTC,preHTC,ProC,RegC
NFATC2,-0.102973491679782,-0.156560138329412,-0.123531017181136,-0.0130029517218485,-0.073112407845633,-0.0168146903281371,-0.0209667378939013
NFATC3,0.247197373731716,0.00808911113670607,0.232299019466917,0.248615593942702,0.0983565394086789,0.165908445064735,0.0865028179712789
NFATC4,0.11298422565456,0.107615896261748,0.0256466865059545,0.213752389279816,0.263070474985516,0.22636265713717,0.0831961054091559
NFE2,0.180509811037211,0.0282606920725427,0.170301228288448,0.0981378136784202,0.175346508277865,0.0429632322123287,0.105317257747822
NFE2L1,0.0845910076467769,-0.24656429895175,0.0986237511318443,0.191232806302407,0.0369636111455502,0.164958471675326,0.150476385519302
NFE2L2,-0.047398058574893,0.0281582982606857,0.0185602003515921,0.0885940866679409,-0.0589367820262529,0.0693328038784933,0.129065212040128
NFE2L3,0.0479161304696118,-0.0411623123665296,0.0394611519266003,0.102111857733257,0.0391081676573191,0.0146715667885298,0.0122373521529796
NFIA,-0.0336932038865937,0.12102948561502,-0.103720524057368,0.113787117464058,0.132238874383727,0.0207182786806315,0.0717274311552328
NFIB,0.189212551472621,-0.191066852925235,0.169112180442985,0.166732222576451,0.0779988564141723,0.185352905791528,0.0572958529994919
NFIC,-0.0408774101496215,-0.0252912715286886,-0.0153067503422748,-0.042194111688286,-0.0883178889066811,0.0512913762600964,0.00373717218559472
NFIL3,0.0803001580042924,0.000307181435571117,0.0227248553681103,-0.0708794842295624,-0.00163450509946552,0.0136272854032298,0.200499147997539
NFIX,0.207831992285478,0.0270319663302583,0.13125982817664,0.159488624094681,0.301960676121516,0.360161796303671,0.0865139987407197
NFKB1,0.0716309305909919,-0.0337899579128228,-0.00947802585358969,-0.0176634215679753,-0.131583999578064,0.0375139020733628,-0.157950729890491
NFKB2,-0.044227923818815,0.139665159373001,-0.112058796762606,-0.00285709682427281,0.0580761312205975,0.0291251838384984,-0.14446951713722
NFX1,0.182880758783704,0.0300013868741124,0.274091959944731,0.199217022085307,0.0645663647748595,0.0208362003426794,0.204331356723381
NFXL1,0.107188641319386,0.0331755950416806,0.139179842845786,0.106995114897609,0.0682430260069508,0.00204500215663459,0.217848906977334
