tf,n_target,n_overlap,enrich_p,enrich_FDR
PATZ1,662,10,0.0678800285031485,0.238328776545981
PAX1,395,5,0.267057386030825,0.536891244130259
PAX2,592,5,0.596613968828954,0.832647540220462
PAX4,201,2,0.528419839379677,0.765767749025177
PAX5,53,1,0.373596536362949,0.639399090011857
PAX6,13,1,0.108311337085264,0.316032876257321
PAX7,169,1,0.775785991357375,0.953507878695358
PAX9,448,6,0.202087659500037,0.450265439175955
PBX1,1296,14,0.249371198506339,0.519977062387672
PBX2,44,3,0.00677649000354371,0.0472375763020748
PBX3,51,3,0.0101891788766901,0.0615864925774623
PBX4,454,4,0.566257487611873,0.805925336317941
PCGF2,374,3,0.640256940190658,0.862405328465555
PDX1,50,1,0.35677199056241,0.625885456447749
PEG3,286,7,0.0134757633016962,0.0748218253088366
PHOX2A,350,2,0.814800169225908,0.967316054139587
PHOX2B,286,1,0.920854953507291,0.988771722429438
PITX3,390,4,0.447846493570958,0.709275955821335
PKNOX1,34,1,0.259147804323274,0.528816566514374
PKNOX2,610,13,0.00298840821052049,0.0248167812264962
PLAG1,532,9,0.0459407877948332,0.178347367252299
PLAGL1,469,17,9.48985217389077e-07,3.94035166350682e-05
PLAGL2,216,2,0.567353016783203,0.806282933077319
POU2F3,610,7,0.289463980263411,0.55377736318103
POU3F1,850,11,0.129585623898715,0.348603579783868
POU3F3,589,2,0.96693438366015,0.988771722429438
POU3F4,573,3,0.881885252103844,0.986183156626664
POU4F1,381,1,0.966148338998945,0.988771722429438
POU4F2,28,1,0.218851657413278,0.477176558971873
POU4F3,384,1,0.967045996501753,0.988771722429438
POU5F1,69,2,0.12299124782704,0.342407941699508
POU5F1B,368,3,0.629399468404118,0.85409847595731
POU6F1,949,13,0.0759680078413703,0.256072746789691
POU6F2,404,6,0.145997653512773,0.373800962747179
PRDM10,206,1,0.838606139667496,0.97547973615403
PRDM14,189,9,4.66902866920984e-05,0.0010616481854989
PRDM15,361,2,0.828097399098602,0.971877721663469
PRDM16,513,17,3.18655416306335e-06,0.000112709600952796
PRDM2,321,7,0.0236850802483388,0.113227133976778
PRDM4,708,17,0.00018302982185856,0.00281924967540202
PRDM5,483,13,0.000365628092589507,0.00459440563714446
PRDM6,586,10,0.0347656475075968,0.146260763743414
PRDM8,336,11,0.000200853004073015,0.00304467649031316
PROP1,313,1,0.937806546172127,0.988771722429438
PROX1,25,1,0.197892951606767,0.444054507292417
PRRX1,989,28,4.95999728744535e-08,3.38342672107879e-06
PRRX2,1386,41,5.80582429374303e-12,2.7722811002623e-09
PTF1A,390,1,0.968770851391507,0.988771722429438
PURA,425,6,0.171815577082214,0.404730448078101
PURB,435,15,7.66931450945895e-06,0.000228881104891666
PURG,233,4,0.149465954090385,0.378040198689564
RARA,37,1,0.278513107764364,0.548412408072099
RARB,57,1,0.395349826242705,0.657768439132026
RAX,391,3,0.669803810875924,0.887188126749664
RAX2,411,4,0.488040153229581,0.734028613647929
RBAK,270,5,0.0901161121097526,0.278514197620756
RBPJ,60,1,0.411169867859455,0.673528685773207
RELA,143,2,0.357876891294253,0.625956833674013
RFX1,39,1,0.291142570517928,0.55377736318103
RFX3,709,13,0.0101415397190224,0.0615864925774623
RFX4,328,7,0.0262316708049102,0.121502096411165
RFX7,403,4,0.472856690918012,0.722525023722722
RFX8,175,6,0.00457117475242058,0.0346466022901719
RHOXF1,395,8,0.0238490394748551,0.113227133976778
RLF,468,9,0.0229556464577677,0.111850216159021
RORA,1161,12,0.322280097087897,0.588484689711169
RORB,504,8,0.0774076377139172,0.256947155534824
RORC,996,16,0.0149616399088678,0.0807252322766594
RREB1,646,11,0.0279620350496307,0.126103659513834
RUNX2,64,3,0.0187667607745236,0.0974035681503806
RXRG,1052,19,0.00241596306481525,0.0209003498907667
SALL1,78,1,0.497802166705392,0.741025276880876
SALL2,612,8,0.171591047078101,0.404730448078101
SALL3,125,1,0.668745029426919,0.887188126749664
SALL4,351,3,0.597436301835743,0.832647540220462
SATB1,313,7,0.0209898304295828,0.106623872660912
SATB2,156,2,0.398487247295701,0.660686321471171
SCRT1,610,10,0.0436404478394923,0.175111881036618
SCRT2,415,6,0.159290255879688,0.388331743329231
SCX,277,6,0.0359756622129431,0.149377206145046
SETDB1,400,7,0.0636742104801271,0.22774858055626
SHOX,414,4,0.493688928719935,0.737829306615865
SHOX2,483,5,0.418494194345214,0.680700594481921
SIM1,109,1,0.618300704240198,0.849343679184551
SIX1,770,14,0.00832258949819424,0.0537031957484831
SIX2,39,1,0.291142570517928,0.55377736318103
SIX3,486,3,0.802517854813443,0.966462233728673
SIX4,68,3,0.0220086473595372,0.110043236797686
SIX6,329,1,0.946091601426951,0.988771722429438
SMAD9,318,4,0.305573661707857,0.569966497912117
SNAI1,16,1,0.131599290625294,0.351053973595408
SNAI2,64,4,0.00242925532761791,0.0209003498907667
SOX1,347,4,0.363117280391164,0.629359351676155
SOX12,357,2,0.82336412364049,0.969559479749282
SOX13,41,1,0.303551982040534,0.567303606357554
SOX15,744,6,0.639788302654322,0.862405328465555
SOX17,1030,18,0.00440260758872734,0.0339071794131823
SOX18,210,1,0.844246245284336,0.979164802768079
SOX21,628,7,0.314491469623397,0.580927182766624
