ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0000070,mitotic sister chromatid segregation,39/1912,205/18842,0.190243902439024,1.87477803857537,4.23208360969963,8.47032890376289e-05,0.00935709431162339,0.00737297733787978,ANAPC11/BUB3/DYNLL1/ZWINT/KAT5/BUB1/SPC25/KLHL22/SKA3/NUMA1/CHEK2/AKAP8/AKAP8L/SPC24/CENPA/TTK/SKA2/KIF23/CDCA8/DLGAP5/CUL3/UHRF1/SMC2/KIF2A/NUSAP1/ESPL1/ANAPC7/CDK1/BIRC5/TRIP13/CDK5RAP2/UBE2C/EML3/NDC80/MAD2L1/RACGAP1/DYNLT1/DYNC1H1/NUDC,39
GO:0032467,positive regulation of cytokinesis,15/1912,50/18842,0.3,2.95638075313808,4.65499610113332,8.49541636593564e-05,0.00935709431162339,0.00737297733787978,KIF23/CDC25B/EXOC7/CDC14C/RAB11FIP3/CDCA8/CUL3/PKP4/WNK1/CDC14B/CSPP1/BIRC5/RACGAP1/KIF20B/SVIL,15
GO:0010639,negative regulation of organelle organization,58/1912,348/18842,0.166666666666667,1.64243375174338,4.065088309197,0.000104476921124973,0.0112772388662296,0.00888596650044266,SLX1A/BUB3/DYNLL1/ZWINT/PIK3R1/PPARG/SLX4/GSN/TOM1L2/BUB1/TERF2/KAT2A/SPC25/BCL2L1/KLHL22/MYOC/SKA3/SPC24/SSH3/PARP3/SMG6/WASF2/TTK/GMFB/EP300/LILRB2/HORMAD1/FXN/STYXL1/CDCA8/TESK1/ADCK1/TEN1/RHPN2/TBC1D7/FLII/ESPL1/CHEK1/TMOD1/BIRC5/EML2/CKAP2/TRIP13/TMEM14A/CDK5RAP2/NDC80/SEC22B/PRELID1/SHANK3/XRCC1/MAD2L1/GDI2/PRKCD/DYNLT1/MUL1/DYNC1H1/SVIL/PML,58
GO:0045017,glycerolipid biosynthetic process,45/1912,251/18842,0.179282868525896,1.76676140625781,4.10972886047263,0.000110520746479904,0.0116956954657263,0.00921569183207075,MOGAT3/DGAT2/KAT5/IP6K1/DGKA/PIK3R1/INPP5D/PIGL/CHKA/PIGF/CPNE1/PITPNM2/PIK3C2B/PDGFB/CHKB/PIGG/GPAM/SLC44A1/DGKD/ITPKA/AGPAT5/TTC7A/ITPKB/ETNK2/PI4KB/LCAT/PIGK/THRSP/TMEM150A/TMEM68/PLA2G4A/PI4KA/INPP5E/PISD/SBF1/GPAA1/DGAT1/CHAT/INPPL1/NR1H2/PIGQ/PI4KAP2/SLC44A2/LCLAT1/PIP5K1C,45
GO:0010638,positive regulation of organelle organization,73/1912,466/18842,0.156652360515021,1.54374674520085,3.99421627828422,0.000113070067451858,0.0117353683468784,0.00924695231143768,SLX1A/ANAPC11/SDC1/IFT20/HTT/KAT5/GPSM2/SLX4/MAP2K7/GSN/CCL26/BUB1/TERF2/KDR/DDX11/MYOC/SKA3/NUMA1/HSP90AA1/PLCB1/FER/RPH3AL/LRP5/CDC42EP2/HNRNPA2B1/CDC42EP4/PDGFB/WASF2/ZNRF1/IGF2/CDC42EP5/CX3CL1/ARHGAP35/SH2B1/RABL3/RAB11FIP3/PHIP/DLGAP5/TESK1/CUL3/ADCK1/WASF3/DCTN1/NRP1/SMC2/EVL/CDK5R1/MAPK3/STXBP1/NUSAP1/ESPL1/ANAPC7/ANXA1/PAN2/S100A10/TAL1/RAPGEF3/CDK1/PLD6/TGFBR1/BMP10/CDK5RAP2/UBE2C/SNX7/ULK1/SYT5/PTK2B/MUL1/LRSAM1/DYNC1H1/ARHGEF15/PML/BAX,73
GO:0140694,membraneless organelle assembly,68/1912,427/18842,0.159250585480094,1.5693512194644,3.99922437545607,0.000116513393609473,0.0118645808549118,0.00934876606491424,FUS/GPSM2/SQLE/CEP72/KAT2A/TUBGCP5/SKA3/NUMA1/CHEK2/NSUN4/NEK6/FLNC/NOP2/YTHDF2/HJURP/CENPA/G3BP1/CENPP/RPS28/SAC3D1/TUBGCP6/SKA2/KIF23/OBSL1/RAB40C/SQSTM1/PATL1/C2CD3/FITM2/STYXL1/CDCA8/DLGAP5/LSM3/UHRF1/METTL17/PRRC2C/KIF2A/PGM5/FLII/IGF2BP1/RPS6/WNK1/MAPRE2/TUBGCP2/DHX37/PAN2/ATXN2/CIRBP/MYL9/PISD/TMOD1/BIRC5/BMP10/CDK5RAP2/CENPO/EML3/NDC80/OIP5/HAUS7/CCDC69/CEP76/RACGAP1/CAPN3/CENPW/NIP7/E2F4/DYNC1H1/WDR1,68
GO:0032386,regulation of intracellular transport,46/1912,260/18842,0.176923076923077,1.74350659800451,4.05688514670666,0.000128817617398325,0.0128746052055326,0.0101446206753122,DYNLL1/SNX12/PIK3R1/NUP214/NUMA1/HSP90AA1/TMEM53/AKAP8L/ERLEC1/SEC31B/EP300/SETD2/NDRG4/RAB11B/ZDHHC2/JUP/RAB11FIP3/DERL3/NEAT1/MDM2/TBC1D20/USP7/CD81/PTPN23/CDH1/DMAP1/MAPK3/TRIM28/WNK1/TMED2/SEC24A/RAPGEF3/CDK1/SAR1B/SIRT7/PCNT/VPS11/SHISA5/ARHGAP8/CAMK1/SUMO1/PRKCD/DYNLT1/KIF20B/DYNC1H1/SAR1A,46
GO:0035459,vesicle cargo loading,12/1912,36/18842,0.333333333333333,3.28486750348675,4.61138619565751,0.000140915964279429,0.0135863171189547,0.0107054182513548,AP3B1/SEC31B/SCAP/TBC1D20/TMED2/SURF4/AP3S1/SEC24A/SAR1B/AP3M1/AP3D1/SAR1A,12
GO:1905820,positive regulation of chromosome separation,11/1912,31/18842,0.354838709677419,3.49679443919557,4.67546847780663,0.000140973459081242,0.0135863171189547,0.0107054182513548,ANAPC11/SKA3/NUMA1/CDCA8/DLGAP5/CUL3/SMC2/ESPL1/ANAPC7/BIRC5/UBE2C,11
GO:1901988,negative regulation of cell cycle phase transition,47/1912,269/18842,0.174721189591078,1.72180787357484,4.00704449939001,0.000148743296133302,0.0140836415654637,0.0110972879655597,TELO2/BUB3/DYNLL1/ZWINT/DOT1L/RAD9A/RBL1/BUB1/ZNF655/SPC25/FAM107A/CDK5RAP3/KLHL22/MUS81/SKA3/CHEK2/DTL/FBXO31/SPC24/FANCD2/TTK/E2F7/MDC1/RBX1/HORMAD1/CDCA8/RPS27L/HINFP/CDC45/CHEK1/CDC14B/STK38/CDK1/BIRC5/ZFP36L2/TRIP13/CDK5RAP2/RAD51/APBB1/TIPRL/DBF4/NDC80/CLSPN/MAD2L1/FOXN3/DYNLT1/DYNC1H1,47
GO:1901970,positive regulation of mitotic sister chromatid separation,9/1912,22/18842,0.409090909090909,4.03142829973374,4.78097278113261,0.000162840476574821,0.0151525871047295,0.011939569872096,ANAPC11/SKA3/CDCA8/DLGAP5/CUL3/ESPL1/ANAPC7/BIRC5/UBE2C,9
GO:0010948,negative regulation of cell cycle process,52/1912,309/18842,0.168284789644013,1.65837971049817,3.92148226423595,0.00018167216306855,0.0166183841369655,0.013094553239869,TELO2/BUB3/DYNLL1/ZWINT/DOT1L/RAD9A/RBL1/TOM1L2/BUB1/TERF2/ZNF655/KAT2A/BCL6/SPC25/FAM107A/CDK5RAP3/KLHL22/MUS81/SKA3/CHEK2/DTL/FBXO31/SPC24/FANCD2/TTK/E2F7/MDC1/RBX1/HORMAD1/CDCA8/RPS27L/HINFP/CDC45/ESPL1/CHEK1/CDC14B/STK38/CDK1/BIRC5/ZFP36L2/TRIP13/CDK5RAP2/RAD51/APBB1/TIPRL/DBF4/NDC80/CLSPN/MAD2L1/FOXN3/DYNLT1/DYNC1H1,52
GO:0008654,phospholipid biosynthetic process,46/1912,264/18842,0.174242424242424,1.71708983136807,3.94315172236781,0.000185636025413403,0.0166979604859356,0.0131572558907185,IP6K1/DGKA/PIK3R1/GGPS1/INPP5D/PIGL/CHKA/PIGF/CPNE1/PITPNM2/PIK3C2B/PDGFB/CHKB/PIGG/SGMS2/GPAM/FABP3/SLC44A1/DGKD/ITPKA/FITM2/ABCA8/AGPAT5/TTC7A/ITPKB/ETNK2/PI4KB/LCAT/PIGK/TMEM150A/PLA2G4A/PI4KA/FLVCR1/INPP5E/PISD/PLD6/SBF1/GPAA1/CHAT/INPPL1/PIGQ/SRD5A3/PI4KAP2/SLC44A2/LCLAT1/PIP5K1C,46
GO:0044314,protein K27-linked ubiquitination,7/1912,14/18842,0.5,4.92730125523013,4.93996166929021,0.000197444172014332,0.0174689540387106,0.0137647647821486,WSB1/TRIM62/RBX1/UBE2D4/RNF185/UBE2T/RNF126,7
GO:0048193,Golgi vesicle transport,53/1912,319/18842,0.166144200626959,1.63728505659684,3.85781016330536,0.000220015593212666,0.0191520025253026,0.0150909327074607,TRIP11/RAB2A/MYO18A/HTT/SNX12/SORCS1/MYO5A/COG8/ERGIC1/RAB43/BBS1/SNAP23/SEC31B/TMED3/DNM2/GGA3/CCDC93/RABGGTA/COPB1/SCAP/TEX261/RAB11FIP3/CUL3/TBC1D20/AMN/TMEM115/GAK/KDELR2/COPZ1/SGSM2/GGA1/KDELR3/TMED2/SNX1/SURF4/AP3S1/SEC24A/NAPG/SORT1/SAR1B/AP3M1/AP2A1/SCAMP2/AP4M1/AP3D1/SEC22B/YIF1A/SHISA5/VPS52/ARF4/BET1L/SAR1A/ARF5,53
GO:0045840,positive regulation of mitotic nuclear division,13/1912,43/18842,0.302325581395349,2.97929843339496,4.36662175827075,0.000228810953536163,0.0196014716862646,0.0154450945687698,ANAPC11/SKA3/LRP5/PDGFB/IGF2/SH2B1/PHIP/DLGAP5/CUL3/NUSAP1/ESPL1/ANAPC7/UBE2C,13
GO:0045930,negative regulation of mitotic cell cycle,42/1912,237/18842,0.177215189873418,1.74638525501827,3.88588395279447,0.000238400959018489,0.020103905872231,0.0158409905321464,BUB3/DYNLL1/ZWINT/RAD9A/RBL1/TOM1L2/BUB1/ZNF655/BCL6/SPC25/FAM107A/CDK5RAP3/KLHL22/MUS81/SKA3/CHEK2/DTL/FBXO31/CDKN1C/SPC24/FANCD2/TTK/E2F7/MDC1/CDCA8/RPS27L/CHEK1/CDC14B/CDK1/BIRC5/ZFP36L2/TRIP13/CDK5RAP2/DBF4/NDC80/CLSPN/FOXC1/MAD2L1/FOXN3/DYNLT1/DYNC1H1/PML,42
