logFC,AveExpr,t,P.Value,adj.P.Val,B,tf
0.447686770755156,0.0123405707188124,6.16780864403002,1.15100864553631e-07,2.21360648206765e-06,7.38944531460789,ZNF827
0.199942827339454,0.0224816814508322,6.15042942262367,1.22543301577369e-07,2.32307087418812e-06,7.3282073930027,SOX8
0.517568215956285,0.086375959943149,6.12436864732752,1.34610566172522e-07,2.5158904409991e-06,7.23642079518736,SOX2
0.505829770491139,0.0475251380716913,6.11083058361868,1.41338851595025e-07,2.60495355648053e-06,7.1887598243845,RFX8
0.444756429718447,0.0185902882711921,6.10131812332046,1.46265652851935e-07,2.62386760313292e-06,7.15527957775163,ZNF594
0.497667090378327,0.00999097112656118,6.10121560546955,1.46319670408317e-07,2.62386760313292e-06,7.15491879257808,ZNF391
0.328112844728051,0.0258597656550352,6.08733013802849,1.53822530717761e-07,2.72163331016626e-06,7.10606017601407,OSR2
0.41091849435816,0.0343002290959828,6.00907104406747,2.03852457027351e-07,3.5593711904644e-06,6.83098906159967,TSHZ3
0.5943444043885,0.0656416528671964,5.99653758059193,2.13247984737439e-07,3.66826619366206e-06,6.78698467816001,OSR1
0.458670800372354,0.00664366774617816,5.99346307691951,2.15617756673429e-07,3.66826619366206e-06,6.77619240168383,ZFP2
0.173644159301936,0.00117918359913923,5.97861046763026,2.27439864442629e-07,3.82041392551099e-06,6.72406814843363,ZNF214
0.301672670538095,0.0328116089935586,5.9496540544797,2.52372083560726e-07,4.18238065535329e-06,6.6225063613643,NFIX
0.470887217156442,0.0100320237155012,5.94645036711902,2.55292263062258e-07,4.18238065535329e-06,6.61127461000483,ZNF285
0.448021143180384,4.27884940534488e-05,5.9260296710306,2.747114296964e-07,4.44563496594052e-06,6.53970532121223,GLI2
0.441847295803462,0.00934141058020237,5.91339324784714,2.87456201001549e-07,4.59583588830187e-06,6.49543834280686,ZKSCAN7
0.304254550916892,-0.00253219609319557,5.90692388470955,2.94206706863638e-07,4.64776547628628e-06,6.47278148977943,RFX1
0.170018776611993,0.0237383815658809,5.89743263984303,3.04396469126143e-07,4.75216605329873e-06,6.43954907901157,ZFP82
0.470302547356163,0.0301707688209313,5.89339610301239,3.08835645634717e-07,4.76540583438685e-06,6.4254184109857,ZNF470
-0.656414329006776,-0.0151636056047069,-5.88917917861193,3.13541907441388e-07,4.78241507097381e-06,6.41065803435705,TCF23
-0.425795222311298,0.0446317209555099,-5.87305661880953,3.32201590459832e-07,4.95533791703346e-06,6.35424156538155,BATF
0.45403918693486,0.0660481663909067,5.8713690648426,3.34217371657517e-07,4.95533791703346e-06,6.34833799124453,EBF2
0.442345184685163,0.019668725868565,5.86673761100339,3.39812284456634e-07,4.95533791703346e-06,6.3321372941335,ZFP90
0.485516725062006,0.0327419318166041,5.86673461097861,3.39815938545625e-07,4.95533791703346e-06,6.33212680085812,ZNF605
0.391107523598768,0.0153905143948385,5.86241151702944,3.45122310836857e-07,4.9780142008751e-06,6.31700676996635,ZNF248
0.444721965595301,0.00782878966761691,5.8337160632716,3.82491850136698e-07,5.45770629173547e-06,6.2166947423929,ZSCAN26
-0.168320231149937,-0.0105487277843164,-5.82518718156315,3.94354429206291e-07,5.56710986762498e-06,6.18689707477555,LIN54
0.334017787295553,0.0199748389088413,5.82134429558334,3.99818088371753e-07,5.58482740283491e-06,6.17347364738892,ZNF70
-0.218873127139073,0.00227636921948787,-5.81001884613946,4.16361152112217e-07,5.7553255088845e-06,6.13392267549935,ZNF83
0.386498287541293,0.0162412129587989,5.77660533286245,4.69232810890111e-07,6.41929835104306e-06,6.01731932109471,SP5
0.234394716314305,0.0422359913687306,5.7731969544501,4.74987045597243e-07,6.43171234191369e-06,6.00543225368147,NME2
0.502622305961936,0.0246361906820129,5.76112449868205,4.95937594157239e-07,6.64756754996623e-06,5.96333919533635,ZNF546
0.225244143413838,-0.0132874094636267,5.71528094729456,5.84188525470669e-07,7.75218173299578e-06,5.80365395934394,TFCP2L1
-0.386061835098533,0.00540211963799269,-5.70321186456184,6.0990589171333e-07,8.01331800300583e-06,5.76165661277113,MYC
0.350546120415512,0.0351389107708543,5.68868777706241,6.42347103981327e-07,8.35680987238452e-06,5.71114050612897,PRRX1
0.340060804182293,0.0510225191119316,5.62556676033209,8.04396728711296e-07,1.03634413495135e-05,5.4919138040819,SIX2
0.123340902670331,0.00378411244016611,5.62171331130532,8.15508746653824e-07,1.04055779500925e-05,5.47854729108369,ISL1
0.461785746912147,0.0267128342311572,5.59374364027365,9.00853837443785e-07,1.13850765932181e-05,5.38158877871864,ZFP14
