donor,predicted_state,gene,mean_log_expression,z
113,RegC,CCDC160,0,-0.543696547439079
113,RegC,ANKRD1,0,-0.304245898766611
113,RegC,SPINK1,0,-0.52514464239922
113,RegC,CLDN4,0,-0.596448002820875
113,RegC,TMEM156,0,-0.728827758300397
113,RegC,FAM170B,0,-0.352126787991565
113,RegC,MTBP,0,-1.17304925369942
113,RegC,ROBO4,0,-0.309096904528277
113,RegC,TEK,0,-0.29155837573271
113,RegC,EBF2,0,-0.248236114555004
113,RegC,NR2F2-AS1,0,-0.237416964681221
113,RegC,CRYBB1,0,-0.312980642444085
113,RegC,CRIP3,0,-0.323865888544622
113,RegC,ADAD2,0,-0.320872173109454
113,RegC,ARHGEF15,0,-0.312761710838984
113,RegC,ROPN1,0,-0.505733199781978
113,RegC,PLA2G10,0,-0.393328994646316
113,RegC,HIST1H2AH,0,-0.888327691857778
113,RegC,HIST1H2BE,0,-0.248716416393874
113,RegC,RAPGEF4-AS1,0,-0.218217890235992
113,RegC,DRAXIN,0.00143041682733053,0.0770882630789914
113,RegC,DHH,0,-0.276740729461188
113,RegC,CCL18,0,-0.241301824127722
113,RegC,LCK,0,-0.374092873287016
113,RegC,HBA2,0,-0.698676617727418
113,RegC,HBA1,0.000451725278218996,-0.231596877483438
113,RegC,DMP1,0,-0.344328454429059
113,RegC,BNC1,0,-0.322509438851439
113,RegC,SLA2,0,-0.587182523459391
113,RegC,LCE1E,0,0
113,RegC,GDNF,0,-0.540338870852718
113,RegC,MMP1,0.0051489282817073,0.561567910918481
113,RegC,S100A2,0.00409348203431759,-0.775059938032649
113,RegC,LRRC38,0,-0.378241867862281
113,RegC,WNT16,0,-0.552305723112057
113,RegC,KRTAP2-3,0,-0.218217890235992
113,RegC,TAC1,0.0296736813354496,-0.633471538977457
113,RegC,GCSAM,0,-0.218217890235992
113,RegC,DCLK1,0,-0.380257837180033
113,RegC,TCN1,0,0
113,RegC,RETN,0,0
113,RegC,PGLYRP1,0,0
113,RegC,PADI4,0,0
113,RegC,MS4A3,0,0
113,RegC,MNDA,0,-0.23862544344358
113,RegC,RNASE6,0.00132109633846562,-0.153578022923543
113,RegC,SPI1,0.0234378711640955,0.49548450994122
113,RegC,CLDN10,0,-0.332169031798302
113,RegC,LY6D,0,-0.784484534444656
113,RegC,TNFAIP6,0.0164314814616018,-0.563420090602761
113,RegC,FAM159B,0,-0.553831244385123
113,RegC,PRG4,0.195316084428462,-0.8536020332649
113,RegC,F5,0.0439611155225022,-0.420054634274772
113,RegC,SOX11,0.00358920471588113,-0.400408478016615
113,RegC,AMTN,0.0506484187702365,-0.228946268162516
113,RegC,DEFB1,0.0137345909266132,-0.395877498226884
113,preHTC,CCDC160,0.00115518124673624,-0.036615152011706
113,preHTC,ANKRD1,0,-0.304245898766611
113,preHTC,SPINK1,0,-0.52514464239922
113,preHTC,CLDN4,0.000447189452491114,-0.558328959683701
113,preHTC,TMEM156,0.00310297475608001,0.441672689903352
113,preHTC,FAM170B,0,-0.352126787991565
113,preHTC,MTBP,0.00513609897497677,0.0780396883799889
113,preHTC,ROBO4,0.000103493150177338,-0.294130922332657
113,preHTC,TEK,0.000190866551895132,-0.24641877757911
113,preHTC,EBF2,0.000202030427231399,-0.234534147315787
113,preHTC,NR2F2-AS1,0,-0.237416964681221
113,preHTC,CRYBB1,0,-0.312980642444085
113,preHTC,CRIP3,0,-0.323865888544622
113,preHTC,ADAD2,0,-0.320872173109454
113,preHTC,ARHGEF15,0,-0.312761710838984
113,preHTC,ROPN1,0.00119240001980501,0.604162850387492
113,preHTC,PLA2G10,0,-0.393328994646316
113,preHTC,HIST1H2AH,0.000712359935263186,-0.57103572495942
113,preHTC,HIST1H2BE,0,-0.248716416393874
113,preHTC,RAPGEF4-AS1,0,-0.218217890235992
113,preHTC,DRAXIN,0.00119318695850596,-0.0634322772191019
113,preHTC,DHH,0,-0.276740729461188
113,preHTC,CCL18,0,-0.241301824127722
113,preHTC,LCK,0,-0.374092873287016
113,preHTC,HBA2,0.000594336769166272,-0.349717442279577
113,preHTC,HBA1,0.00117919393987407,0.334327685370147
113,preHTC,DMP1,0,-0.344328454429059
113,preHTC,BNC1,9.36165345501769e-05,0.278501094023271
113,preHTC,SLA2,0.000535439994840563,0.830797052598252
113,preHTC,LCE1E,0,0
113,preHTC,GDNF,0.00312491675110739,0.40829849630306
113,preHTC,MMP1,0,-0.500646372205826
113,preHTC,S100A2,0.0410658565841306,-0.200884442568022
113,preHTC,LRRC38,0,-0.378241867862281
113,preHTC,WNT16,0.0379019061405755,0.491449448788639
113,preHTC,KRTAP2-3,0,-0.218217890235992
113,preHTC,TAC1,0.0635817123096532,-0.230949825569375
113,preHTC,GCSAM,0,-0.218217890235992
113,preHTC,DCLK1,0.00110200096353923,-0.301928324940128
113,preHTC,TCN1,0,0
113,preHTC,RETN,0,0
113,preHTC,PGLYRP1,0,0
113,preHTC,PADI4,0,0
113,preHTC,MS4A3,0,0
113,preHTC,MNDA,0,-0.23862544344358
113,preHTC,RNASE6,0.000149353113630649,-0.226635040130034
113,preHTC,SPI1,0.00157862991976184,-0.360609591982586
113,preHTC,CLDN10,0.000372592631279199,0.475720416007517
113,preHTC,LY6D,0.0161612958729462,0.971392187001963
113,preHTC,TNFAIP6,0.497935452361792,0.728303201883958
113,preHTC,FAM159B,0.0397997371987817,2.79129206320496
113,preHTC,PRG4,0.547587116982057,-0.102286069997213
113,preHTC,F5,0.295718345432403,2.07886841015521
113,preHTC,SOX11,0.0868366901498299,1.40400233267721
113,preHTC,AMTN,0.371844654905453,3.02713217800483
113,preHTC,DEFB1,0.180283459268877,1.96638765095882
116,EC,CCDC160,0.00368044303905325,1.0718803997343
116,EC,ANKRD1,0.000627929119333298,2.01478780997167
116,EC,SPINK1,0.00413740643854941,2.57677544272332
116,EC,CLDN4,0.0422833183481502,3.00784012856801
116,EC,TMEM156,0.00625803581345401,1.63182107075316
116,EC,FAM170B,0.00121140688552292,3.03311123908333
116,EC,MTBP,0.0123566173269696,1.83686690535364
116,EC,ROBO4,0.00053451697265727,-0.231801243102012
116,EC,TEK,0,-0.29155837573271
116,EC,EBF2,0,-0.248236114555004
116,EC,NR2F2-AS1,0,-0.237416964681221
116,EC,CRYBB1,0,-0.312980642444085
116,EC,CRIP3,0,-0.323865888544622
116,EC,ADAD2,0.00114343119632,-0.0221118470153568
116,EC,ARHGEF15,0.000572969082315692,-0.193882491131971
116,EC,ROPN1,0,-0.505733199781978
116,EC,PLA2G10,0.000329835101622417,0.147749912644665
116,EC,HIST1H2AH,0.00217707606244806,0.081362926251266
116,EC,HIST1H2BE,0,-0.248716416393874
116,EC,RAPGEF4-AS1,0,-0.218217890235992
116,EC,DRAXIN,0.000818467821161639,-0.285393094803159
116,EC,DHH,0,-0.276740729461188
116,EC,CCL18,0.0013559347411559,-0.0710660675881704
116,EC,LCK,0,-0.374092873287016
116,EC,HBA2,0,-0.698676617727418
116,EC,HBA1,0.000374579484138583,-0.291611421191235
116,EC,DMP1,0,-0.344328454429059
116,EC,BNC1,0,-0.322509438851439
116,EC,SLA2,0,-0.587182523459391
116,EC,LCE1E,0,0
116,EC,GDNF,0,-0.540338870852718
116,EC,MMP1,0,-0.500646372205826
116,EC,S100A2,0.019619284210357,-0.533946531997485
116,EC,LRRC38,0,-0.378241867862281
116,EC,WNT16,0.00329754320331208,-0.461496892541439
116,EC,KRTAP2-3,0,-0.218217890235992
116,EC,TAC1,0.0172355805259457,-0.781124042102539
116,EC,GCSAM,0,-0.218217890235992
116,EC,DCLK1,0,-0.380257837180033
116,EC,TCN1,0,0
116,EC,RETN,0,0
116,EC,PGLYRP1,0,0
116,EC,PADI4,0,0
116,EC,MS4A3,0,0
116,EC,MNDA,0,-0.23862544344358
116,EC,RNASE6,0.000631571114555697,-0.196569230450765
