gene,logFC,P.Value,adj.P.Val,status,is_piezo
MGC4294,2.29956303795,1.2167601778477e-08,1.00634856990659e-06,Medial higher,FALSE
RPS2P32,0.89556193185,1.28354238837759e-08,1.05756113757536e-06,Medial higher,FALSE
HOXD9,0.84809902185,1.30890435780964e-08,1.07438821098397e-06,Medial higher,FALSE
NMB,-1.58471576095,1.32041569888232e-08,1.07763370748733e-06,Lateral higher,FALSE
BEST1,-0.7949120049,1.32276664168406e-08,1.07763370748733e-06,Lateral higher,FALSE
FAM57A,1.00155329585,1.34834306930748e-08,1.09107203100347e-06,Medial higher,FALSE
TP53I11,0.9548359246,1.34929374926413e-08,1.09107203100347e-06,Medial higher,FALSE
MGLL,-1.0488926875,1.37071280815209e-08,1.10019565554961e-06,Lateral higher,FALSE
COL3A1,2.8735811877,1.37255487717987e-08,1.10019565554961e-06,Medial higher,FALSE
RAB6B,-0.94794983265,1.37575036001054e-08,1.10019565554961e-06,Lateral higher,FALSE
SLC20A2,1.4071602337,1.38863446735789e-08,1.10643138952267e-06,Medial higher,FALSE
RCC1,1.2728954588,1.40463598382871e-08,1.11509642044679e-06,Medial higher,FALSE
GLT8D2,1.25164612545,1.43893723057913e-08,1.13817318689299e-06,Medial higher,FALSE
MMD,-1.70913539085,1.47641498639014e-08,1.16358618782458e-06,Lateral higher,FALSE
CCDC102B,1.406857202,1.49483592974185e-08,1.1738509438175e-06,Medial higher,FALSE
ZBTB4,-0.7644671461,1.50935863124351e-08,1.18099168873413e-06,Lateral higher,FALSE
ITGA7,-1.7492027797,1.52276894823279e-08,1.18721398429963e-06,Lateral higher,FALSE
OLFML2B,2.0024735922,1.53128820194734e-08,1.18959217745566e-06,Medial higher,FALSE
SULF1,1.26605434325,1.55794388817293e-08,1.20599272083764e-06,Medial higher,FALSE
EPAS1,-0.90381980335,1.57405685148937e-08,1.21414484516301e-06,Lateral higher,FALSE
ARNTL2,1.25257825445,1.59757113988681e-08,1.222826901293e-06,Medial higher,FALSE
AR,-1.440051026,1.60005568938787e-08,1.222826901293e-06,Lateral higher,FALSE
SQLE,1.1020552401,1.60217757846867e-08,1.222826901293e-06,Medial higher,FALSE
ADAM12,1.20175969875,1.6144589585124e-08,1.22654744170622e-06,Medial higher,FALSE
MAST3,-0.8205179232,1.62499491496224e-08,1.22654744170622e-06,Lateral higher,FALSE
LEPREL4,1.4363519175,1.6269302632546e-08,1.22654744170622e-06,Medial higher,FALSE
ADH1C,-2.58108006595,1.62960744139895e-08,1.22654744170622e-06,Lateral higher,FALSE
ANKRD30A,-2.7644627515,1.63566113134978e-08,1.22685865272829e-06,Lateral higher,FALSE
TGFB3,1.6546907478,1.65385047744229e-08,1.23623902355068e-06,Medial higher,FALSE
OR7E14P,-0.8112344264,1.68204410606329e-08,1.24883668156145e-06,Lateral higher,FALSE
FAM81A,0.81364400315,1.68218622516323e-08,1.24883668156145e-06,Medial higher,FALSE
P4HA2,1.2680322867,1.68951592884449e-08,1.25001192123216e-06,Medial higher,FALSE
AKR1B10,1.7601247253,1.70240061783001e-08,1.25107302589732e-06,Medial higher,FALSE
