gene,F,P.Value,adj.P.Val
ABCA7,2.05260892140991,0.0816419914518951,0.273570896162267
FAM53B,2.05201933440187,0.0817229685407811,0.273785940954943
GRASP,2.05197661870706,0.0817288384169727,0.273785940954943
MSX1,2.0518553741058,0.0817455017854046,0.273803786523766
INSIG1,2.05146207166012,0.0817995787049094,0.27394692518853
SLN,2.05072519751401,0.0819009896308804,0.274248523853411
ANP32A,2.05061842471112,0.0819156942976129,0.27425974000142
LOC285847,2.05007635762986,0.081990387438391,0.274456884531593
CERS5,2.05001000729882,0.0819995346635334,0.274456884531593
TRUB1,2.04994377174531,0.0820086670668036,0.274456884531593
CASP6,2.04963378440716,0.0820514207013333,0.274561923552134
BBS2,2.04952582362377,0.0820663158645813,0.274573725873006
RFESD,2.0494248733129,0.0820802462122709,0.27458229733587
YWHAG,2.0488345883404,0.0821617474815796,0.27479510708523
WHSC1L1,2.04879934947618,0.0821666154667964,0.27479510708523
CCDC71,2.04827013557764,0.0822397565480217,0.274999909600039
ZNHIT2,2.04819153578174,0.0822506250548869,0.274999909600039
RTF1,2.04800917715201,0.0822758464164877,0.275002663914569
ZFP2,2.04788991693292,0.0822923449808945,0.275002663914569
ATL3,2.04788627418898,0.0822928489725488,0.275002663914569
ZSWIM7,2.04785632800992,0.0822969922897573,0.275002663914569
RIC1,2.04738795548191,0.0823618224640599,0.275180482249569
LGR5,2.04725031430133,0.0823808837340077,0.275180482249569
FAAP100,2.04722503025691,0.082384385672448,0.275180482249569
RABL3,2.0468147170534,0.082441236124431,0.27533229758205
MAP7D1,2.04659215378219,0.082472089254617,0.275397258643269
ZBTB20-AS1,2.04617034554128,0.0825305941537757,0.275554525932561
KIF24,2.04603064569216,0.0825499795539237,0.275581154964191
RASGRF2,2.04550086425042,0.0826235352013641,0.275767342802844
GLRX5,2.04546449649366,0.0826285869193965,0.275767342802844
MRPS17,2.04532516039171,0.0826479444228117,0.275783151210693
CLIC5,2.04518346742933,0.082667633931996,0.275783151210693
CLCNKA,2.04510545323931,0.0826784766737127,0.275783151210693
