dataset,layer,programme,delta,t,p,p_adj_within_layer
GSE51588(LT-MT),L4_unclosed_gs_score,ProC,-0.202614160860961,-3.54313781917364,0.00165567370310443,0.00441512987494514
GSE51588(LT-MT),L4_unclosed_gs_score,RegC,0.0845289071577101,1.49146093558342,0.148868737462581,0.23818997994013
GSE51588(LT-MT),L4_unclosed_gs_score,HomC_minus_preHTC,0.355372613495073,4.78679190034978,7.14137747490467e-05,0.000571310197992373
GSE57218(Pres-OA),L0_raw_sum1,EC,0.047338916936035,6.17644800717045,6.51916153324183e-07,1.52113769108976e-06
GSE57218(Pres-OA),L0_raw_sum1,FC,0.0124246306122037,0.835198726945629,0.40979844408864,0.40979844408864
GSE57218(Pres-OA),L0_raw_sum1,HomC,0.0298354393775113,4.72865138326484,4.36551666217331e-05,6.11172332704263e-05
GSE57218(Pres-OA),L0_raw_sum1,HTC,0.0599145573032328,6.89481007047355,8.36905813213208e-08,5.85834069249246e-07
GSE57218(Pres-OA),L0_raw_sum1,preHTC,-0.119652114599963,-6.62957852849732,1.77711591958541e-07,6.21990571854894e-07
GSE57218(Pres-OA),L0_raw_sum1,ProC,-0.0531204254881531,-5.1014252000233,1.47960484235535e-05,2.58930847412187e-05
GSE57218(Pres-OA),L0_raw_sum1,RegC,0.0232589958591332,1.32234101601111,0.195428670026236,0.228000115030608
GSE57218(Pres-OA),L1_CLR_msr_0.5min,EC,0.650912100215603,2.55785544887499,0.0154704384317334,0.0216586138044267
GSE57218(Pres-OA),L1_CLR_msr_0.5min,FC,0.0856466638112365,0.673675424921408,0.505354907034929,0.505354907034929
GSE57218(Pres-OA),L1_CLR_msr_0.5min,HomC,0.193089733157405,2.77597638981189,0.00911849045112021,0.0159573582894604
GSE57218(Pres-OA),L1_CLR_msr_0.5min,HTC,0.401660389692911,4.60374730482566,6.26227672816934e-05,0.000438359370971854
GSE57218(Pres-OA),L1_CLR_msr_0.5min,preHTC,-1.15084051552351,-3.93189072211555,0.000423935065023835,0.000989181818388947
GSE57218(Pres-OA),L1_CLR_msr_0.5min,ProC,-0.392232276517511,-4.0697292737864,0.000287802134617722,0.000989181818388947
GSE57218(Pres-OA),L1_CLR_msr_0.5min,RegC,0.211763905163863,1.2785019987478,0.210267822505507,0.245312459589759
GSE57218(Pres-OA),L1_CLR_add_1e-3,EC,0.462307148413229,3.88168076057128,0.000487767725177646,0.000682874815248704
GSE57218(Pres-OA),L1_CLR_add_1e-3,FC,0.0744020699015217,0.6853979024798,0.498028362163595,0.498028362163595
GSE57218(Pres-OA),L1_CLR_add_1e-3,HomC,0.181229355826828,4.0085394493337,0.000341928353932118,0.000598374619381206
GSE57218(Pres-OA),L1_CLR_add_1e-3,HTC,0.486858153940749,4.50946113319574,8.21601675426721e-05,0.000191707057599568
